,Review,Cleaned_Review,Category
309,Comfortable and clean,comfortable clean,1
310,"The food at both the pizzeria and Jenny's Cafe was very average. I would not eat at the hotel if I stayed there again.
The price of the hotel was good for London. It was comfortable and clean.",food pizzeria jennys cafe average would not eat hotel stay price hotel good london comfortable clean,1
311,Very nice looking hotel.,nice look hotel,1
312,fine,fine,1
313,Just a one night stay very pleasant good breakfast . Room was very hot could not turn heating down,one night stay pleasant good breakfast room hot could not turn heat,1
314,The price and location,price location,1
315,Late bar and pizzeria,late bar pizzeria,1
316,Very quick check inn considering the time of the year when it was busy. great location with 5 min walk to the DLR line. Staff excellent,quick check inn consider time year busy great location min walk dlr line staff excellent,1
317,The view over the water front.,view water front,1
318,"Bed very hard, poor breakfast",bed hard poor breakfast,1
319,"It was a bit run down.
And the breakfast was horrible.",bite run breakfast horrible,1
320,The location is great for the wharf and the rooms are cheap,location great wharf room cheap,1
321,Great location and value for money,great location value money,1
322,It was all good apart from breakfast was dissapointing,good apart breakfast dissapointing,1
323,It was near Canary Wharf an £72 a night,near canary wharf night,1
324,Location was very convenient & large rooms with nice views plus checking in took a long time,location convenient large room nice view plus check take long time,1
325,"The room was cold they do not seem to put the heating on
The kettle didn’t work 
Room 152
It takes ages to check in or get a cat receipt",room cold not seem put heat kettle not work room take age check get cat receipt,1
326,Location,location,1
327,The breakfast,breakfast,1
328,Good value for money,good value money,1
329,Cheap,cheap,1
330,Price was ok,price ok,1
331,Price.,price,1
332,"Closeness to tube
Comfortable room",closeness tube comfortable room,1
333,The room was always clean. The underground station was close to the hotel.,room always clean underground station close hotel,1
334,V comfy bed lots of space in the room. Fab location for tube and O2,v comfy bed lot space room fab location tube,1
335,Good location,good location,1
336,"Convenient location, always stay here if possible. Clean comfortable rooms. Large bar & seating area",convenient location always stay possible clean comfortable room large bar seat area,1
337,"Bed, cleanliness, location",bed cleanliness location,1
338,Very comfy bed,comfy bed,1
339,Location,location,1
340,"Great location , not very clean , couldn’t even see out if the windows , chewing gum stuck to a menu . Very old and worn looking",great location not clean could not even see windows chew gum stick menu old wear look,1
341,Location,location,1
342,Location is good but you still need to walk over 10mins to take transportation tools,location good still need walk mins take transportation tool,1
343,"I thought dinner was very reasonable for £15 and tasty. The room, albeit it windowless was well priced and totally fine for 2 nights business stay.",think dinner reasonable tasty room albeit windowless well price totally fine nights business stay,1
344,Hotel location and facilities were excellent. Room had plenty of space and there were a number of options for eating and drinking in the hotel or the locality.,hotel location facilities excellent room plenty space number options eat drink hotel locality,1
345,Clean tidy room,clean tidy room,1
346,Location,location,1
347,Good location.,good location,1
348,"Tidy and cosy - had no issues
Room is a good size",tidy cosy issue room good size,1
349,"Room was very comfy, if a little basic. very nice lobby, and the staff were incredibly friendly and helpful. very good location for anyone want to be right in the centre of canary wharf.",room comfy little basic nice lobby staff incredibly friendly helpful good location anyone want right centre canary wharf,1
